,bin,city,kitchen_shape,property_config
0,1,Bengaluru,parallel,1 BHK
1,1,Bengaluru,l-shaped,2 BHK
2,1,Bengaluru,l-shaped,3 BHK
3,1,Bengaluru,l-shaped,4 BHK
4,1,Chennai,parallel,1 BHK
5,1,Chennai,l-shaped,2 BHK
6,1,Chennai,l-shaped,3 BHK
7,1,Chennai,l-shaped,4 BHK
8,1,Hyderabad,l-shaped,1 BHK
9,1,Hyderabad,l-shaped,2 BHK
10,1,Hyderabad,l-shaped,3 BHK
11,1,Hyderabad,l-shaped,4 BHK
12,1,Kolkata,l-shaped,1 BHK
13,1,Kolkata,l-shaped,2 BHK
14,1,Kolkata,l-shaped,3 BHK
15,1,Kolkata,l-shaped,4 BHK
16,1,Mumbai,parallel,1 BHK
17,1,Mumbai,parallel,2 BHK
18,1,Mumbai,parallel,3 BHK
19,1,Mumbai,l-shaped,4 BHK
20,1,NCR,l-shaped,1 BHK
21,1,NCR,l-shaped,2 BHK
22,1,NCR,parallel,3 BHK
23,1,NCR,l-shaped,4 BHK
24,1,Pune,l-shaped,1 BHK
25,1,Pune,l-shaped,2 BHK
26,1,Pune,straight,3 BHK
27,1,Pune,l-shaped,4 BHK
28,2,Bengaluru,l-shaped,1 BHK
29,2,Bengaluru,l-shaped,2 BHK
30,2,Bengaluru,parallel,3 BHK
31,2,Bengaluru,l-shaped,4 BHK
32,2,Chennai,l-shaped,1 BHK
33,2,Chennai,l-shaped,2 BHK
34,2,Chennai,l-shaped,3 BHK
35,2,Chennai,l-shaped,4 BHK
36,2,Hyderabad,l-shaped,1 BHK
37,2,Hyderabad,l-shaped,2 BHK
38,2,Hyderabad,l-shaped,3 BHK
39,2,Hyderabad,l-shaped,4 BHK
40,2,Kolkata,l-shaped,1 BHK
41,2,Kolkata,straight,2 BHK
42,2,Kolkata,straight,3 BHK
43,2,Kolkata,l-shaped,4 BHK
44,2,Mumbai,l-shaped,1 BHK
45,2,Mumbai,parallel,2 BHK
46,2,Mumbai,parallel,3 BHK
47,2,Mumbai,l-shaped,4 BHK
48,2,NCR,l-shaped,1 BHK
49,2,NCR,l-shaped,2 BHK
50,2,NCR,l-shaped,3 BHK
51,2,NCR,l-shaped,4 BHK
52,2,Pune,l-shaped,1 BHK
53,2,Pune,l-shaped,2 BHK
54,2,Pune,l-shaped,3 BHK
55,2,Pune,l-shaped,4 BHK
56,3,Bengaluru,l-shaped,1 BHK
57,3,Bengaluru,l-shaped,2 BHK
58,3,Bengaluru,l-shaped,3 BHK
59,3,Bengaluru,l-shaped,4 BHK
60,3,Chennai,l-shaped,1 BHK
61,3,Chennai,l-shaped,2 BHK
62,3,Chennai,l-shaped,3 BHK
63,3,Chennai,l-shaped,4 BHK
64,3,Hyderabad,l-shaped,1 BHK
65,3,Hyderabad,l-shaped,2 BHK
66,3,Hyderabad,l-shaped,3 BHK
67,3,Hyderabad,l-shaped,4 BHK
68,3,Kolkata,l-shaped,1 BHK
69,3,Kolkata,l-shaped,2 BHK
70,3,Kolkata,straight,3 BHK
71,3,Kolkata,l-shaped,4 BHK
72,3,Mumbai,l-shaped,1 BHK
73,3,Mumbai,parallel,2 BHK
74,3,Mumbai,parallel,3 BHK
75,3,Mumbai,l-shaped,4 BHK
76,3,NCR,l-shaped,1 BHK
77,3,NCR,l-shaped,2 BHK
78,3,NCR,l-shaped,3 BHK
79,3,NCR,l-shaped,4 BHK
80,3,Pune,l-shaped,1 BHK
81,3,Pune,l-shaped,2 BHK
82,3,Pune,l-shaped,3 BHK
83,3,Pune,l-shaped,4 BHK
84,4,Bengaluru,l-shaped,1 BHK
85,4,Bengaluru,l-shaped,2 BHK
86,4,Bengaluru,l-shaped,3 BHK
87,4,Bengaluru,u-shaped,4 BHK
88,4,Chennai,l-shaped,1 BHK
89,4,Chennai,l-shaped,2 BHK
90,4,Chennai,l-shaped,3 BHK
91,4,Chennai,parallel,4 BHK
92,4,Hyderabad,l-shaped,1 BHK
93,4,Hyderabad,l-shaped,2 BHK
94,4,Hyderabad,l-shaped,3 BHK
95,4,Hyderabad,l-shaped,4 BHK
96,4,Kolkata,l-shaped,1 BHK
97,4,Kolkata,l-shaped,2 BHK
98,4,Kolkata,l-shaped,3 BHK
99,4,Kolkata,l-shaped,4 BHK
100,4,Mumbai,l-shaped,1 BHK
101,4,Mumbai,l-shaped,2 BHK
102,4,Mumbai,parallel,3 BHK
103,4,Mumbai,l-shaped,4 BHK
104,4,NCR,l-shaped,1 BHK
105,4,NCR,parallel,2 BHK
106,4,NCR,parallel,3 BHK
107,4,NCR,parallel,4 BHK
108,4,Pune,l-shaped,1 BHK
109,4,Pune,l-shaped,2 BHK
110,4,Pune,l-shaped,3 BHK
111,4,Pune,l-shaped,4 BHK
