City,Property Config,binned
Bengaluru,1 BHK,1
Bengaluru,1 BHK,2
Bengaluru,1 BHK,3
Bengaluru,1 BHK,4
Bengaluru,1 BHK,1
Bengaluru,1 BHK,2
Bengaluru,1 BHK,3
Bengaluru,1 BHK,4
Bengaluru,1 BHK,1
Bengaluru,1 BHK,2
Bengaluru,1 BHK,3
Bengaluru,1 BHK,4
Bengaluru,1 BHK,1
Bengaluru,1 BHK,2
Bengaluru,1 BHK,3
Bengaluru,1 BHK,4
Chennai,1 BHK,1
Chennai,1 BHK,2
Chennai,1 BHK,3
Chennai,1 BHK,4
Chennai,1 BHK,1
Chennai,1 BHK,2
Chennai,1 BHK,3
Chennai,1 BHK,4
Chennai,1 BHK,1
Chennai,1 BHK,2
Chennai,1 BHK,3
Chennai,1 BHK,4
Chennai,1 BHK,1
Chennai,1 BHK,2
Chennai,1 BHK,3
Chennai,1 BHK,4
Hyderabad,1 BHK,1
Hyderabad,1 BHK,2
Hyderabad,1 BHK,3
Hyderabad,1 BHK,4
Hyderabad,1 BHK,1
Hyderabad,1 BHK,2
Hyderabad,1 BHK,3
Hyderabad,1 BHK,4
Hyderabad,1 BHK,1
Hyderabad,1 BHK,2
Hyderabad,1 BHK,3
Hyderabad,1 BHK,4
Hyderabad,1 BHK,1
Hyderabad,1 BHK,2
Hyderabad,1 BHK,3
Hyderabad,1 BHK,4
Kolkata,1 BHK,1
Kolkata,1 BHK,2
Kolkata,1 BHK,3
Kolkata,1 BHK,4
Kolkata,1 BHK,1
Kolkata,1 BHK,2
Kolkata,1 BHK,3
Kolkata,1 BHK,4
Kolkata,1 BHK,1
Kolkata,1 BHK,2
Kolkata,1 BHK,3
Kolkata,1 BHK,4
Kolkata,1 BHK,1
Kolkata,1 BHK,2
Kolkata,1 BHK,3
Kolkata,1 BHK,4
Mumbai,1 BHK,1
Mumbai,1 BHK,2
Mumbai,1 BHK,3
Mumbai,1 BHK,4
Mumbai,1 BHK,1
Mumbai,1 BHK,2
Mumbai,1 BHK,3
Mumbai,1 BHK,4
Mumbai,1 BHK,1
Mumbai,1 BHK,2
Mumbai,1 BHK,3
Mumbai,1 BHK,4
Mumbai,1 BHK,1
Mumbai,1 BHK,2
Mumbai,1 BHK,3
Mumbai,1 BHK,4
NCR,1 BHK,1
NCR,1 BHK,2
NCR,1 BHK,3
NCR,1 BHK,4
NCR,1 BHK,1
NCR,1 BHK,2
NCR,1 BHK,3
NCR,1 BHK,4
NCR,1 BHK,1
NCR,1 BHK,2
NCR,1 BHK,3
NCR,1 BHK,4
NCR,1 BHK,1
NCR,1 BHK,2
NCR,1 BHK,3
NCR,1 BHK,4
Pune,1 BHK,1
Pune,1 BHK,2
Pune,1 BHK,3
Pune,1 BHK,4
Pune,1 BHK,1
Pune,1 BHK,2
Pune,1 BHK,3
Pune,1 BHK,4
Pune,1 BHK,1
Pune,1 BHK,2
Pune,1 BHK,3
Pune,1 BHK,4
Pune,1 BHK,1
Pune,1 BHK,2
Pune,1 BHK,3
Pune,1 BHK,4
Bengaluru,2 BHK,1
Bengaluru,2 BHK,2
Bengaluru,2 BHK,3
Bengaluru,2 BHK,4
Bengaluru,2 BHK,1
Bengaluru,2 BHK,2
Bengaluru,2 BHK,3
Bengaluru,2 BHK,4
Bengaluru,2 BHK,1
Bengaluru,2 BHK,2
Bengaluru,2 BHK,3
Bengaluru,2 BHK,4
Bengaluru,2 BHK,1
Bengaluru,2 BHK,2
Bengaluru,2 BHK,3
Bengaluru,2 BHK,4
Chennai,2 BHK,1
Chennai,2 BHK,2
Chennai,2 BHK,3
Chennai,2 BHK,4
Chennai,2 BHK,1
Chennai,2 BHK,2
Chennai,2 BHK,3
Chennai,2 BHK,4
Chennai,2 BHK,1
Chennai,2 BHK,2
Chennai,2 BHK,3
Chennai,2 BHK,4
Chennai,2 BHK,1
Chennai,2 BHK,2
Chennai,2 BHK,3
Chennai,2 BHK,4
Hyderabad,2 BHK,1
Hyderabad,2 BHK,2
Hyderabad,2 BHK,3
Hyderabad,2 BHK,4
Hyderabad,2 BHK,1
Hyderabad,2 BHK,2
Hyderabad,2 BHK,3
Hyderabad,2 BHK,4
Hyderabad,2 BHK,1
Hyderabad,2 BHK,2
Hyderabad,2 BHK,3
Hyderabad,2 BHK,4
Hyderabad,2 BHK,1
Hyderabad,2 BHK,2
Hyderabad,2 BHK,3
Hyderabad,2 BHK,4
Kolkata,2 BHK,1
Kolkata,2 BHK,2
Kolkata,2 BHK,3
Kolkata,2 BHK,4
Kolkata,2 BHK,1
Kolkata,2 BHK,2
Kolkata,2 BHK,3
Kolkata,2 BHK,4
Kolkata,2 BHK,1
Kolkata,2 BHK,2
Kolkata,2 BHK,3
Kolkata,2 BHK,4
Kolkata,2 BHK,1
Kolkata,2 BHK,2
Kolkata,2 BHK,3
Kolkata,2 BHK,4
Mumbai,2 BHK,1
Mumbai,2 BHK,2
Mumbai,2 BHK,3
Mumbai,2 BHK,4
Mumbai,2 BHK,1
Mumbai,2 BHK,2
Mumbai,2 BHK,3
Mumbai,2 BHK,4
Mumbai,2 BHK,1
Mumbai,2 BHK,2
Mumbai,2 BHK,3
Mumbai,2 BHK,4
Mumbai,2 BHK,1
Mumbai,2 BHK,2
Mumbai,2 BHK,3
Mumbai,2 BHK,4
NCR,2 BHK,1
NCR,2 BHK,2
NCR,2 BHK,3
NCR,2 BHK,4
NCR,2 BHK,1
NCR,2 BHK,2
NCR,2 BHK,3
NCR,2 BHK,4
NCR,2 BHK,1
NCR,2 BHK,2
NCR,2 BHK,3
NCR,2 BHK,4
NCR,2 BHK,1
NCR,2 BHK,2
NCR,2 BHK,3
NCR,2 BHK,4
Pune,2 BHK,1
Pune,2 BHK,2
Pune,2 BHK,3
Pune,2 BHK,4
Pune,2 BHK,1
Pune,2 BHK,2
Pune,2 BHK,3
Pune,2 BHK,4
Pune,2 BHK,1
Pune,2 BHK,2
Pune,2 BHK,3
Pune,2 BHK,4
Pune,2 BHK,1
Pune,2 BHK,2
Pune,2 BHK,3
Pune,2 BHK,4
Bengaluru,3 BHK,1
Bengaluru,3 BHK,2
Bengaluru,3 BHK,3
Bengaluru,3 BHK,4
Bengaluru,3 BHK,1
Bengaluru,3 BHK,2
Bengaluru,3 BHK,3
Bengaluru,3 BHK,4
Bengaluru,3 BHK,1
Bengaluru,3 BHK,2
Bengaluru,3 BHK,3
Bengaluru,3 BHK,4
Bengaluru,3 BHK,1
Bengaluru,3 BHK,2
Bengaluru,3 BHK,3
Bengaluru,3 BHK,4
Chennai,3 BHK,1
Chennai,3 BHK,2
Chennai,3 BHK,3
Chennai,3 BHK,4
Chennai,3 BHK,1
Chennai,3 BHK,2
Chennai,3 BHK,3
Chennai,3 BHK,4
Chennai,3 BHK,1
Chennai,3 BHK,2
